year;month;state;latitude;longitude;firespots
1999;10;TOCANTINS;-66.890.831.481.481.400;-485.732.759.259.259.000;216
1999;11;ACRE;-81.998.650.000.000.000;-701.432.250.000.000.000;4
1999;11;AMAPA;14.564.969.230.769.200;-514.957.000.000.000.000;26
1999;11;AMAZONAS;-32.991.392.857.142.800;-621.907.035.714.285.000;28
1999;11;MARANHAO;-36.824.762.261.014.100;-461.380.494.596.841.000;1203
1999;11;MATO GROSSO;-122.997.336.629.213.000;-578.371.764.044.943.000;445
1999;11;PARA;-30.779.706.226.696.400;-497.944.293.810.589.000;2682
1999;11;RONDONIA;-119.135.748.780.487.000;-620.088.170.731.707.000;41
1999;11;RORAIMA;19.212.426.666.666.600;-599.443.400.000.000.000;15
1999;11;TOCANTINS;-60.242.240.000.000.000;-482.243.600.000.000.000;5
1999;12;AMAPA;0.47458682926829268293;-514.398.926.829.268.000;41
1999;12;AMAZONAS;-28.065.300.000.000.000;-613.717.000.000.000.000;2
1999;12;MARANHAO;-25.771.197.978.596.900;-456.616.142.687.277.000;841
1999;12;MATO GROSSO;-139.933.555.555.555.000;-586.788.888.888.888.000;18
1999;12;PARA;-27.467.801.436.031.300;-497.973.979.112.271.000;766
1999;12;RORAIMA;19.247.234.285.714.200;-601.252.371.428.571.000;35
2000;1;AMAPA;-0.93500000000000000000;-522.642.000.000.000.000;2
2000;1;AMAZONAS;-49.563.128.571.428.500;-639.556.571.428.571.000;7
2000;1;MARANHAO;-35.771.594.117.647.000;-464.010.882.352.941.000;17
2000;1;MATO GROSSO;-134.545.000.000.000.000;-569.384.923.076.923.000;13
2000;1;PARA;-25.552.243.333.333.300;-488.587.433.333.333.000;30
2000;1;RORAIMA;36.530.433.333.333.300;-601.997.611.111.111.000;18
2000;2;AMAZONAS;-30.155.982.258.064.500;-623.967.016.129.032.000;62
2000;2;MARANHAO;-30.099.100.000.000.000;-458.572.333.333.333.000;3
2000;2;MATO GROSSO;-125.542.440.000.000.000;-552.265.160.000.000.000;25
2000;2;PARA;-34.310.562.068.965.500;-526.895.344.827.586.000;29
2000;2;RONDONIA;-122.185.500.000.000.000;-616.976.666.666.666.000;6
2000;2;RORAIMA;27.865.326.315.789.400;-606.867.122.807.017.000;57
2000;3;ACRE;-94.455.618.181.818.100;-712.400.363.636.363.000;11
2000;3;AMAZONAS;-31.149.220.289.855.000;-629.110.318.840.579.000;69
2000;3;MATO GROSSO;-122.275.300.000.000.000;-543.235.800.000.000.000;10
2000;3;PARA;-36.916.949.723.756.900;-514.043.640.883.977.000;181
2000;3;RONDONIA;-112.458.777.777.777.000;-638.232.111.111.111.000;9
2000;3;RORAIMA;25.943.224.000.000.000;-606.545.840.000.000.000;125
2000;4;ACRE;-84.630.600.000.000.000;-703.250.000.000.000.000;1
2000;4;AMAZONAS;-25.300.950.000.000.000;-625.466.666.666.666.000;18
2000;4;MARANHAO;-29.965.300.000.000.000;-457.183.500.000.000.000;2
2000;4;MATO GROSSO;-125.362.990.322.580.000;-553.838.774.193.548.000;31
2000;4;PARA;-46.037.317.500.000.000;-519.061.750.000.000.000;40
2000;5;ACRE;-81.716.700.000.000.000;-709.566.700.000.000.000;1
2000;5;AMAZONAS;-61.656.539.215.686.200;-630.004.245.098.039.000;51
2000;5;MATO GROSSO;-120.536.268.928.571.000;-555.222.439.523.809.000;840
2000;5;PARA;-47.843.058.333.333.300;-531.556.950.000.000.000;12
2000;5;RONDONIA;-120.458.886.666.666.000;-608.886.666.666.666.000;15
2000;5;RORAIMA;31.721.442.857.142.800;-609.871.414.285.714.000;7
2000;5;TOCANTINS;-67.991.650.000.000.000;-484.383.325.000.000.000;4
2000;6;ACRE;-101.150.000.000.000.000;-676.731.000.000.000.000;1
2000;6;AMAZONAS;-28.040.766.666.666.600;-667.407.666.666.666.000;6
2000;6;MARANHAO;-47.299.222.580.645.100;-471.184.483.870.967.000;31
2000;6;MATO GROSSO;-118.501.910.364.053.000;-554.925.872.745.162.000;3049
2000;6;PARA;-77.126.250.847.457.600;-505.918.254.237.288.000;59
2000;6;RONDONIA;-113.340.885.185.185.000;-615.076.703.703.703.000;54
2000;6;TOCANTINS;-84.378.554.545.454.500;-486.961.636.363.636.000;11
2000;7;ACRE;-96.666.700.000.000.000;-682.150.000.000.000.000;1
2000;7;AMAZONAS;-75.547.674.358.974.300;-628.275.205.128.205.000;39
2000;7;MARANHAO;-45.513.910.416.666.600;-470.141.312.500.000.000;48
2000;7;MATO GROSSO;-116.074.084.018.801.000;-558.009.098.707.403.000;851
2000;7;PARA;-72.321.159.859.154.900;-524.153.826.291.079.000;426
2000;7;RONDONIA;-107.013.180.833.333.000;-626.419.650.000.000.000;120
2000;7;TOCANTINS;-72.365.692.000.000.000;-484.039.720.000.000.000;25
2000;8;ACRE;-100.322.094.852.941.000;-678.537.102.941.176.000;136
2000;8;AMAPA;0.65213000000000000000;-511.889.000.000.000.000;3
2000;8;AMAZONAS;-65.250.178.888.888.800;-622.914.738.888.888.000;180
2000;8;MARANHAO;-45.849.866.428.571.400;-467.330.207.142.857.000;140
2000;8;MATO GROSSO;-109.220.613.307.375.000;-556.202.041.685.753.000;4366
2000;8;PARA;-73.407.662.964.989.000;-511.627.289.204.959.000;5484
2000;8;RONDONIA;-113.110.881.636.363.000;-623.472.924.545.454.000;2200
2000;8;RORAIMA;28.423.177.777.777.700;-610.784.444.444.444.000;9
2000;8;TOCANTINS;-76.401.928.571.428.500;-486.795.516.483.516.000;273
2000;9;ACRE;-97.227.448.275.862.000;-681.783.685.823.754.000;261
2000;9;AMAPA;0.38497157894736842105;-512.631.578.947.368.000;19
2000;9;AMAZONAS;-80.330.439.896.373.000;-666.231.088.082.901.000;193
2000;9;MARANHAO;-41.464.644.313.725.400;-464.815.772.549.019.000;255
2000;9;MATO GROSSO;-114.084.923.481.158.000;-554.723.155.088.438.000;3901
2000;9;PARA;-63.227.538.614.246.700;-503.074.448.423.511.000;2569
2000;9;RONDONIA;-110.586.034.754.098.000;-625.114.347.008.196.000;2440
2000;9;RORAIMA;29.613.691.666.666.600;-606.378.750.000.000.000;12
2000;9;TOCANTINS;-75.521.270.631.067.900;-487.360.992.718.446.000;412
2000;10;ACRE;-100.027.933.333.333.000;-688.902.500.000.000.000;18
2000;10;AMAPA;0.79316261904761904762;-513.128.023.809.523.000;42
2000;10;AMAZONAS;-55.910.620.689.655.100;-624.579.641.379.310.000;145
2000;10;MARANHAO;-44.616.496.082.089.500;-465.734.110.074.626.000;1072
2000;10;MATO GROSSO;-123.197.206.541.816.000;-561.905.139.558.748.000;3898
2000;10;PARA;-40.175.996.773.444.700;-501.586.613.045.496.000;4308
2000;10;RONDONIA;-108.879.213.572.542.000;-627.069.443.057.722.000;641
